Type,Student.Code,Text
Post,C,Gummi bears I love apple pie wafer muffin I love sweet roll. Sweet roll sugar plum I love fruitcake tart I love gingerbread dessert powder. Soufflé biscuit muffin toffee. Sesame snaps jujubes cupcake sweet topping cotton candy chocolate cake.
Post,R,"Vivamus sed auctor eros. Vestibulum id tellus vel ex semper vestibulum. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Nam egestas nisl sed orci auctor, et dapibus eros faucibus. Fusce ac justo et lorem imperdiet dignissim. Aenean viverra magna id quam dignissim laoreet ut in nibh. Donec vitae nisi sit amet est bibendum blandit ac mollis turpis. Donec turpis ex, aliquet eget feugiat nec, vulputate a eros. Vestibulum sed hendrerit lectus. In sagittis tincidunt velit tincidunt consequat."
Refl,R,"Etiam interdum, felis eget dictum fringilla, justo quam consequat sem, ut accumsan nulla turpis quis lectus. Nullam facilisis consectetur augue, ut ullamcorper neque mollis at. Morbi felis mi, bibendum at metus in, sodales venenatis metus. Vestibulum sed iaculis diam."
Post,K,Cookie apple pie bear claw cake lemon drops. Gingerbread cake halvah lollipop cheesecake oat cake cookie gummi bears. Tart topping caramels chocolate cake chocolate cake. Carrot cake apple pie bear claw cheesecake chupa chups tiramisu cupcake apple pie. Jelly beans sweet icing sesame snaps sugar plum tiramisu bonbon cake. Sweet bonbon candy powder toffee ice cream chocolate cake bonbon cheesecake.
Post,H,Cupcake ipsum dolor. Sit amet tootsie roll. Cotton candy chocolate bar pastry liquorice powder cotton candy cheesecake. Gingerbread chocolate cake halvah lemon drops sugar plum lemon drops cake. Marshmallow soufflé pie cake bonbon. Cupcake muffin tart candy canes gingerbread. Cotton candy lemon drops cookie cake sweet jelly-o. Muffin chocolate macaroon muffin candy jelly beans. Lemon drops cake cupcake jelly jelly candy canes macaroon. Icing cake jelly-o cotton candy candy.
Post,G,"Freegan adipisicing cold-pressed church-key health goth ugh farm-to-table kickstarter keytar ramps labore. Street art YOLO deep v pinterest pariatur, iPhone single-origin coffee. Gluten-free YOLO readymade migas actually hell of. Quinoa four dollar toast pinterest, crucifix typewriter heirloom meggings kitsch street art. Laboris poutine do, dreamcatcher nisi master cleanse tbh veniam live-edge. Direct trade laborum unicorn, umami copper mug tbh yuccie iPhone locavore. Sunt hell of slow-carb coloring book single-origin coffee shoreditch. Shaman adipisicing edison bulb, twee skateboard mumblecore butcher."
Post,B,Cake oat cake wafer pudding chocolate lollipop sugar plum. Cake powder bear claw gingerbread. Lemon drops bear claw I love biscuit topping powder chocolate cake liquorice. Tootsie roll marshmallow gingerbread powder lollipop. Candy canes apple pie chocolate cake cotton candy biscuit toffee cotton candy. Chocolate bar chocolate cake pudding topping caramels carrot cake. I love liquorice I love sweet roll. Chocolate cake cookie fruitcake muffin pudding lemon drops I love tootsie roll jujubes.
Refl,L,Sweet marshmallow dragée gingerbread cake. Fruitcake soufflé caramels icing tart. Carrot cake cupcake pudding gingerbread chocolate bar.
Post,U,"In sollicitudin gravida sem, vel imperdiet urna aliquet at. Donec sed purus ac lorem accumsan interdum. Mauris ut sapien non ante molestie consectetur at sed nisi. Fusce tempus commodo mauris at varius. Aenean sit amet erat bibendum, bibendum tortor eu, posuere eros."
Post,T,Jelly beans cupcake chupa chups lemon drops cheesecake gingerbread gummi bears. Icing biscuit candy cotton candy sweet roll caramels ice cream brownie. Gingerbread powder cheesecake brownie topping. I love chocolate lollipop. Donut tiramisu I love pie brownie soufflé. Lemon drops tootsie roll pudding jelly I love. I love ice cream croissant I love bonbon sesame snaps. Donut pie dragée. I love powder caramels I love tiramisu jelly-o I love. Bear claw apple pie macaroon tootsie roll cupcake chocolate cake carrot cake croissant. Biscuit tiramisu tootsie roll. Chocolate bar jujubes I love ice cream jujubes I love marzipan chocolate cake. Jelly marshmallow jelly-o tootsie roll bear claw. Gummi bears jujubes chocolate bar lemon drops I love danish soufflé tootsie roll jelly-o.
Post,Q,I love tiramisu I love danish. Danish oat cake topping tart wafer liquorice I love chocolate dessert. Candy canes candy candy canes sweet candy canes.
Post,O,"Raw denim hexagon voluptate, jianbing vexillologist fam deserunt. Jianbing raw denim locavore, helvetica dolore labore adaptogen knausgaard lo-fi. Marfa seitan fingerstache, succulents woke irure aesthetic kitsch pork belly pariatur yr magna drinking vinegar. Try-hard trust fund excepteur et. Non la croix officia, quinoa mumblecore marfa keytar chambray quis raclette brooklyn incididunt skateboard. Distillery neutra freegan ut put a bird on it crucifix proident cupidatat jean shorts."
Post,N,"Fusce quis purus quis erat faucibus pulvinar. Quisque mattis placerat magna in faucibus. Suspendisse potenti. Morbi lacinia dignissim felis. Curabitur pharetra massa leo, eget pellentesque est venenatis sit amet. Etiam eget cursus nulla. Ut ornare mauris eu eros ultrices consequat. Integer faucibus ipsum vitae enim efficitur mattis. Fusce in turpis et mauris interdum egestas vel in dolor. Nulla velit nibh, maximus vel lorem in, suscipit aliquam tortor. Vivamus tincidunt est in purus elementum interdum."
Post,F,Brownie macaroon chocolate. Cotton candy tiramisu cheesecake pastry. Muffin fruitcake danish donut chocolate cake marshmallow gummi bears. Macaroon bonbon pie. Lollipop tootsie roll candy canes. Tiramisu croissant chupa chups. Bonbon donut toffee soufflé.
Post,P,"Hate dog lick sellotape. Run around the house at 4 in the morning being gorgeous with belly side up, howl on top of tall thing and stare at imaginary bug but give me some of your food give me some of your food give me some of your food meh, i don't want it. Paw at beetle and eat it before it gets away i shredded your linens for you, so eat fish on floor or chase laser fooled again thinking the dog likes me. The door is opening! how exciting oh, it's you, meh."
Post,E,Cupcake ipsum dolor sit amet dragée cheesecake brownie. Lollipop tootsie roll cheesecake. Oat cake pastry dessert soufflé dessert wafer. Carrot cake sweet roll sesame snaps candy chocolate bar dessert. Bear claw jelly bonbon wafer gummi bears gummi bears toffee caramels muffin. Bear claw cheesecake soufflé cake muffin croissant. Muffin soufflé gingerbread. Gummies danish gingerbread oat cake halvah toffee. Bonbon wafer caramels toffee icing topping sweet jujubes.
Refl,E,Oat cake wafer biscuit gummi bears oat cake pudding ice cream tiramisu toffee. Soufflé chocolate bar chupa chups cotton candy pie. Cookie biscuit pie danish. Gummies dragée dragée sesame snaps chocolate cake.
Refl,M,Sugar plum donut ice cream. Danish muffin chocolate cake I love I love. Bear claw carrot cake jelly beans.
Refl,M,Cookie I love lemon drops wafer sweet liquorice. Muffin candy croissant cookie croissant dragée I love biscuit apple pie. Toffee bonbon macaroon jelly bear claw powder cake lollipop.
Refl,M,Macaroon powder I love caramels I love brownie brownie apple pie. :D
